iter	Passed	Remaining
779	4697	1324
780	4706	1319
781	4715	1314
782	4724	1309
783	4734	1304
784	4743	1299
785	4752	1293
786	4762	1288
787	4771	1283
788	4780	1278
789	4790	1273
790	4799	1268
791	4808	1262
792	4817	1257
793	4826	1252
794	4835	1247
795	4845	1241
796	4854	1236
797	4863	1231
798	4872	1225
799	4881	1220
800	4889	1214
801	4898	1209
802	4907	1203
803	4916	1198
804	4925	1193
805	4934	1187
806	4943	1182
807	4952	1176
808	4961	1171
809	4969	1165
810	4979	1160
811	4988	1154
812	4997	1149
813	5007	1144
814	5016	1138
815	5025	1133
816	5034	1127
817	5042	1121
818	5051	1116
819	5060	1110
820	5069	1105
821	5077	1099
822	5086	1093
823	5094	1088
824	5103	1082
825	5112	1076
826	5122	1071
827	5131	1065
828	5140	1060
829	5149	1054
830	5157	1048
831	5167	1043
832	5176	1037
833	5185	1032
834	5193	1026
835	5202	1020
836	5211	1014
837	5221	1009
838	5230	1003
839	5238	997
840	5247	992
841	5256	986
842	5266	980
843	5274	974
844	5284	969
845	5293	963
846	5303	958
847	5312	952
848	5321	946
849	5330	940
850	5339	934
851	5346	928
852	5355	922
853	5364	917
854	5371	910
855	5380	905
856	5388	899
857	5398	893
858	5406	887
859	5415	881
860	5424	875
861	5433	869
862	5442	863
863	5450	858
864	5459	852
865	5468	846
866	5478	840
867	5487	834
868	5496	828
869	5505	822
870	5515	816
871	5525	811
872	5534	805
873	5544	799
874	5555	793
875	5563	787
876	5573	781
877	5582	775
878	5591	769
879	5600	763
880	5609	757
881	5618	751
882	5627	745
883	5636	739
884	5645	733
885	5655	727
886	5663	721
887	5672	715
888	5681	709
889	5691	703
890	5700	697
891	5708	691
892	5717	685
893	5726	678
894	5735	672
895	5744	666
896	5754	660
897	5762	654
898	5771	648
899	5780	642
900	5790	636
901	5799	630
902	5808	623
903	5817	617
904	5826	611
905	5835	605
906	5845	599
907	5854	593
908	5863	586
909	5872	580
910	5880	574
911	5890	568
912	5898	562
913	5907	555
914	5916	549
915	5925	543
916	5934	537
917	5942	530
918	5953	524
919	5961	518
920	5970	512
921	5979	505
922	5989	499
923	5998	493
924	6007	487
925	6016	480
926	6025	474
927	6034	468
928	6042	461
929	6052	455
930	6061	449
931	6070	442
932	6079	436
933	6088	430
934	6098	423
935	6107	417
936	6116	411
937	6124	404
938	6134	398
939	6143	392
940	6152	385
941	6161	379
942	6170	372
943	6180	366
944	6188	360
945	6197	353
946	6206	347
947	6215	340
948	6224	334
949	6233	328
950	6242	321
951	6251	315
952	6260	308
953	6269	302
954	6279	295
955	6288	289
956	6297	282
957	6306	276
958	6316	270
959	6325	263
960	6333	257
961	6342	250
962	6350	244
963	6359	237
964	6368	230
965	6377	224
966	6387	217
967	6396	211
968	6405	204
969	6414	198
970	6423	191
971	6431	185
972	6440	178
973	6450	172
974	6459	165
975	6469	159
976	6478	152
977	6487	145
978	6496	139
979	6506	132
980	6514	126
981	6524	119
982	6533	112
983	6542	106
984	6551	99
985	6560	93
986	6569	86
987	6577	79
988	6587	73
989	6595	66
990	6604	59
991	6612	53
992	6622	46
993	6631	40
994	6641	33
995	6650	26
996	6658	20
997	6666	13
998	6675	6
999	6684	0
